Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious Critical,Tot Cases per 1M pop
China,"81,093",+39,"3,270",+9,"72,703","5,120","1,749",56
Italy,"59,138",,"5,476",,"7,024","46,638","3,000",978
Iran,"21,638",,"1,685",,"7,913","12,040",,258
Spain,"28,768",,"1,772",,"2,575","24,421","1,785",615
Germany,"24,873",,94,,266,"24,513",23,297
USA,"35,060","+1,514",457,+38,178,"34,425",795,106
France,"16,018",,674,,"2,200","13,144","1,746",245
S. Korea,"8,961",+64,111,+7,"3,166","5,684",59,175
Switzerland,"7,474",,98,,131,"7,245",141,864
UK,"5,683",,281,,135,"5,267",20,84
Netherlands,"4,204",,179,,2,"4,023",354,245
Austria,"3,582",,16,,9,"3,557",15,398
Belgium,"3,401",,75,,340,"2,986",288,293
Norway,"2,385",,7,,6,"2,372",28,440
Sweden,"1,934",,21,,16,"1,897",76,191
Denmark,"1,395",,13,,1,"1,381",42,241
Japan,"1,101",,41,,235,825,49,9
Malaysia,"1,306",,10,,139,"1,157",26,40
Portugal,"1,600",,14,,5,"1,581",26,157
Canada,"1,470",,20,,14,"1,436",1,39
Australia,"1,629",+20,7,,88,"1,534",11,64
Czechia,"1,120",,1,,6,"1,113",19,105
Brazil,"1,546",,25,,2,"1,519",18,7
Israel,"1,071",,1,,37,"1,033",18,124
Qatar,494,,,,33,461,6,171
Greece,624,,15,,19,590,18,60
Finland,626,,1,,10,615,12,113
Ireland,906,,4,,5,897,29,183
Luxembourg,798,,8,,6,784,3,"1,275"
Pakistan,799,+23,6,+1,13,780,,4
Iceland,568,,1,,5,562,1,"1,665"
Poland,634,,7,,13,614,3,17
Singapore,455,,2,,144,309,14,78
Indonesia,514,,48,,29,437,,2
Slovenia,414,,2,,,412,12,199
Romania,433,,3,,64,366,14,23
Thailand,721,+122,1,,52,668,7,10
Bahrain,334,+7,2,,149,183,3,196
Estonia,326,,,,4,322,2,246
Saudi Arabia,511,,48,,29,494,,15
Chile,632,,1,,10,623,7,33
Philippines,396,+16,33,+8,18,345,1,4
Egypt,327,,14,,42,235,,3
Hong Kong,318,,4,,100,214,4,42
India,425,+29,8,+1,24,393,,0.3
Turkey,"1,236",,30,,,"1,206",,15
Ecuador,789,,14,,3,772,2,45
Iraq,233,,20,,57,156,,6
Peru,363,,5,,1,357,5,11
South Africa,274,,,,2,272,,5
Lebanon,248,,4,,8,236,4,36
Kuwait,188,,,,30,158,5,44
Russia,367,,1,,16,350,,3
San Marino,175,,20,,4,151,13,"5,158"
Armenia,194,,,,2,192,6,65
Mexico,316,+65,2,,4,310,1,2
UAE,153,,2,,38,113,2,15
Panama,313,,3,,1,309,7,73
Taiwan,169,+18,2,,28,139,,7
Slovakia,185,,,,7,178,2,34
Croatia,254,,1,,5,248,5,62
Colombia,231,,2,,3,226,,5
Argentina,266,,4,,27,235,,6
Serbia,222,,2,,2,218,4,25
Bulgaria,187,,3,,3,181,3,27
Latvia,139,,,,1,138,,74
Algeria,201,,17,,65,119,,5
Uruguay,158,,,,,158,2,45
Vietnam,116,+3,,,17,99,2,1
Hungary,131,,6,,16,109,6,14
Brunei,88,,,,2,86,2,201
Faeroe Islands,115,,,,3,112,,"2,354"
Costa Rica,134,,2,,2,130,2,26
Albania,89,,2,,2,85,2,31
Morocco,115,,4,,3,108,1,3
Cyprus,95,,1,,3,91,3,79
Jordan,112,,,,1,111,,11
Sri Lanka,86,+4,,,3,83,2,4
Andorra,113,,1,,1,111,2,"1,462"
Malta,90,,,,2,88,1,204
Belarus,76,,,,15,61,,8
Palestine,59,,,,17,42,,12
Bosnia and Herzegovina,126,,1,,2,123,1,38
Kazakhstan,60,,,,,60,,3
North Macedonia,115,,1,,1,113,1,55
Georgia,54,,,,1,53,1,14
Oman,55,,,,17,38,,11
Tunisia,75,,3,,1,71,7,6
Cambodia,84,,,,2,82,,5
Moldova,94,,1,,1,92,3,23
Lithuania,143,,1,,1,141,1,53
Senegal,67,,,,5,62,,4
Venezuela,77,+7,,,15,62,2,3
Dominican Republic,202,,3,,,199,,19
Azerbaijan,65,,1,,11,53,,6
Burkina Faso,75,,4,+2,5,66,,4
Guadeloupe,58,,1,,,57,4,145
New Zealand,102,,,,,102,,21
Liechtenstein,37,,,,,37,,970
Martinique,44,,1,,1,38,7,117
Uzbekistan,46,+3,,,,46,,1
Afghanistan,40,,1,,1,38,,2
Bangladesh,27,,2,,3,22,,0.2
Macao,22,,,,10,12,,34
Ukraine,73,,3,,1,69,,2
Jamaica,19,,1,,2,16,,6
French Guiana,18,,,,,18,,60
DRC,30,,1,,,29,,0.3
Réunion,64,,,,1,63,,71
Cameroon,40,,,,2,38,,2
Maldives,13,,,,3,10,,24
Bolivia,24,,,,,24,,2
Guam,27,,1,,,26,,160
Honduras,26,,,,,26,,3
Cuba,35,,1,,,34,,3
Paraguay,22,,1,,,21,1,3
Rwanda,19,,,,,19,,1
Monaco,23,,,,1,22,,586
Ivory Coast,14,,,,1,13,,0.5
Ghana,23,,,1,,22,,0.7
Trinidad and Tobago,50,,,,,50,,36
Guatemala,19,,1,,,18,,1
Nigeria,30,,,,2,28,,0.1
Gibraltar,15,,,,2,13,,445
Montenegro,22,+1,1,+1,,21,,35
Channel Islands,14,+2,,,,14,,81
Kenya,15,,,,,15,,0.3
Ethiopia,11,,,,,11,,0.10
French Polynesia,18,,,,,18,,64
Mongolia,10,+4,,,,10,,3
Puerto Rico,23,,1,,,22,,8
Seychelles,7,,,,,7,,71
Tanzania,12,,,,,12,,0.2
Guyana,5,,1,,,3,,5
Aruba,5,,,,1,4,,47
Equatorial Guinea,6,,,,,6,,4
Curaçao,3,,1,,,2,,18
Bahamas,3,,,,,3,,8
Gabon,3,,,,,3,,1
Kyrgyzstan,6,+3,,,,6,,0.9
Mauritius,7,,,,,7,,6
Mayotte,4,,,,,4,,15
St. Barth,3,,,,,3,,304
Saint Martin,3,,,,,3,,78
U.S. Virgin Islands,3,,,,,3,,29
Sudan,2,,1,,,1,,0.05
Barbados,2,,,,,2,,7
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Greenland,2,,,,,2,,35
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
Namibia,3,,,,,3,,1
New Caledonia,2,,,,,2,,7
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Cayman Islands,3,,1,,,2,,46
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bhutan,1,+1,,,,2,,3
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Djibouti,1,,,,,1,,1
El Salvador,1,+1,,,,1,,0.2
Fiji,1,+1,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Nicaragua,1,+1,,,,1,,0.2
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
Total:,"339,341","1,911","14,703",65,"99,014","225,624","10,553",43.5
